Town ,Latitude,Longitude
 NDAKAINI,-0.8248571,36.8297374
 NDANAI,-0.8395071,35.0948976
 NDANAI,-0.8395071,35.0948976
 NDARAGWA,-0.0581284,36.531071
 NDARAWETTA,-0.6870689,35.3815985
 NDENDERU,-1.1936187,36.7415432
 NDERU,-1.15,36.6
 NDHIWA,-0.73,34.37
 NDHIWA,-0.73,34.37
 NDINDIRUKI,-1.1936187,36.7415432
 NDORI,-0.416667,36.95
 NDUMBERI,-1.2812917,36.8262504
 NDUMBERI,-1.2812917,36.8262504
 NDUNYU,-0.5449804,36.5621393
 NDUNYU,-0.5449804,36.5621393
 NDURIO,0.0195248,35.0509202
 NGAO,-1.255682,36.8138308
 NGARA,-1.2746653,36.8290646
 NGARA,-1.2746653,36.8290646
 NGARA,-1.2746653,36.8290646
 NGARENGIRO,-2.0747222,36.0769444
 NGATATEK,-2.2825477,36.8048859
 NGECHA,-1.2345124,36.7739484
 NGERIA,0.3920436,35.3659874
 NGEWA,-1.1962293,36.76279
 NGEWA,-1.1962293,36.76279
 NGIYA ,0.0442894,34.3726668
 NGOINA,-0.5408333,35.0608333
 NGONDA ,-3.1,40
Nairobi,-1.2920659,36.8219462
 NGULUNI,-1.2799153,37.2651084
Nairobi,-1.2920659,36.8219462
 NGUNI,-0.8024808,38.3139375
 NGUUTANI,-1.0302574,37.8846721
 NJAMBINI,-0.7400653,36.6636515
 NKUBU,-0.3030988,36.080026
 NORTH HORR,3.32,37.07
 NORTH KINANGOP,-0.611546,36.7065057
 NTHAMBIRO,0.2501018,38.0247223
 NTULELE,-1.0935239,36.0906941
 NUNGUNU,-1.7929201,37.3635538
 NYABITE,-0.8751292,34.7846635
 NYABITE,-0.8751292,34.7846635
 NYAKAHURA,-0.6967081,37.0951438
 NYAKIANGA,-0.6417856,36.9583511
Mombasa,-4.0434771,39.6682065
 NYAMATARO,-0.6432337,34.7621656
 NYAMBARI,-1.0540604,36.6323893
 NYAMBARI,-1.0540604,36.6323893
 NYAMONYE,-0.0483068,34.1384912
 NYAMUSI,-0.4780148,34.9833866
 NYANDARUA,-0.1803855,36.5229641
 NYANDIWA,-0.7256695,34.0543965
Nyange,-0.3239886,35.934096
 NYANSIONGO,-0.7593575,35.0140324
 NYANSIONGO,-0.7593575,35.0140324
 NZIU,-1.816667,37.533333
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Kilgoris,-1.006268,34.8789697
 OLENGURUONE,-0.5968149,35.6314191
 OLMORAN,0.4494388,36.4116273
 OLOLULUNGA,-1.003036,35.6640447
 OLOLULUNGA,-1.003036,35.6640447
 ONGATA RONGAI,-1.3938636,36.7442377
 ONGATA RONGAI,-1.3938636,36.7442377
 ONGATA RONGAI,-1.3938636,36.7442377
 ONGATA RONGAI,-1.3938636,36.7442377
 ONGATA RONGAI,-1.3938636,36.7442377
 OPAPO ,-0.6978586,34.5486851
 ORTUM,1.4375133,35.3562259
 OSIEKO,-0.0282745,34.0157524
Othaya,-0.5517507,36.9447027
Othaya,-0.5517507,36.9447027
Othaya,-0.5517507,36.9447027
Othaya,-0.5517507,36.9447027
Othaya,-0.5517507,36.9447027
Othaya,-0.5517507,36.9447027
Nairobi,-1.2920659,36.8219462
Oyugis,-0.5078963,34.7381662
Pangani,-1.272545,36.8398293
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Nairobi,-1.2920659,36.8219462
Maralal,1.0931431,36.7018311
 PORT VICTORIA,0.0960848,33.9781371
